country,datadate,ew_return,vw_return
<<<<<<< Updated upstream
AUS,2020-03-31,-0.3851983178423207,-0.6324060570879217
AUS,2020-04-30,0.18321690381488334,0.11848474716089463
AUS,2020-05-31,0.10289647189593294,0.09917486980405008
AUS,2020-06-30,-5.6801504626837304e-06,0.04715258759237923
AUS,2020-07-31,0.10151314937157128,0.07068979432703881
AUS,2020-08-31,0.0983307670121679,0.07379279299993965
AUS,2020-09-30,0.016605318940999605,-0.012097129135916916
AUS,2020-10-31,0.02624469428254087,0.05815866676311185
AUS,2020-11-30,0.0670881003350922,0.11937776498881411
AUS,2020-12-31,0.024035288599560372,0.048966531126726325
AUS,2021-01-31,0.03670637656625021,0.016983057953010992
AUS,2021-02-28,0.019105992539267827,0.017760741843883866
AUS,2021-03-31,-0.008295285622541679,0.06502983267874667
AUS,2021-04-30,0.02959178420310889,0.06498461956867513
AUS,2021-05-31,-0.007396957559700354,0.018413387098746906
AUS,2021-06-30,-0.03069514003575175,0.034008496768752026
AUS,2021-07-31,0.02572474200152816,0.030807465981131914
AUS,2021-08-31,0.00955631572844177,0.11487982639379436
AUS,2021-09-30,0.009346743395213658,0.048940891014935296
AUS,2021-10-31,0.0287649899463262,0.06499131171941441
AUS,2021-11-30,-0.02800618503041845,0.008268028000675397
AUS,2021-12-31,-0.005666149849412195,0.02680419293783263
AUS,2022-01-31,-0.03676422922697608,-0.7819872231405159
AUS,2022-02-28,-0.03732133268976421,0.14045478253037805
AUS,2022-03-31,0.038481830976056085,0.10622787533743372
AUS,2022-04-30,-0.010180305012283068,0.0852568211046289
AUS,2022-05-31,-0.08945165163604113,0.04147262750900452
AUS,2022-06-30,-0.1658245903072987,-0.029775935097537377
AUS,2022-07-31,0.10405449796940892,0.16972753332904536
AUS,2022-08-31,0.012581541491680654,0.13119777287270087
AUS,2022-09-30,-0.06906462039686144,0.03150895160770036
AUS,2022-10-31,-0.0043585764639834795,0.16128587755230833
AUS,2022-11-30,0.009614522762977265,0.11963778982326106
AUS,2022-12-31,-0.04036156755992172,0.07877751691809212
AUS,2023-01-31,0.042683490002262,0.18353182550141295
AUS,2023-02-28,-0.05981380518353645,0.0659402303230847
AUS,2023-03-31,-0.042622278955295786,0.1088431244621213
AUS,2023-04-30,0.010625697154883373,0.13063336059693695
AUS,2023-05-31,-0.049931990874062186,0.076392507922568
AUS,2023-06-30,-0.028961776428813684,0.07491922621600577
AUS,2023-07-31,0.04397306748699625,0.12007727621779973
AUS,2023-08-31,-0.03705205754220575,0.09055750117184654
AUS,2023-09-30,-0.02646060119501054,0.06841703347942883
AUS,2023-10-31,-0.04462165795887316,0.04492687650781278
AUS,2023-11-30,0.0119193670560207,0.12147543602872661
AUS,2023-12-31,0.003620822508736921,0.1256229395840557
AUS,2024-01-31,-0.0441956189686627,0.11483933280517172
AUS,2024-02-29,-0.020083431499296693,0.12452612937881884
AUS,2024-03-31,0.008413029651451374,0.14231178755496676
AUS,2024-04-30,-0.013850625898706465,0.09486332709523711
AUS,2024-05-31,-0.01972929525644848,0.10999812028497515
AUS,2024-06-30,-0.05971919387437567,0.10519792555102092
AUS,2024-07-31,0.014852882406460509,0.12191328096266098
AUS,2024-08-31,-0.014236092173452473,0.10636972823918124
AUS,2024-09-30,0.024148125505503847,0.09613656821142008
AUS,2024-10-31,0.005966356528861593,0.08658204505238494
AUS,2024-11-30,-0.028181011432236513,0.10623727181411494
AUS,2024-12-31,-0.0317112617293956,0.06903130801200688
AUT,2020-03-31,-0.056847010934479685,-0.037578042394203225
AUT,2020-04-30,0.005231617189154778,0.25873989961172245
AUT,2020-05-31,-0.03103336194828522,0.0950319388142858
AUT,2020-06-30,-0.03018785373896344,-0.022073593489085205
AUT,2020-07-31,-0.030865185067465373,0.04215919035448466
AUT,2020-08-31,-0.02021219336132443,0.044931050234453145
AUT,2020-09-30,-0.039713248043797805,0.21699785230088195
AUT,2020-10-31,-0.04601785633967305,-0.047539269870007415
AUT,2020-11-30,0.04228050642643702,0.16550734849673046
AUT,2020-12-31,-0.016441926064823406,-0.1037936709738114
AUT,2021-01-31,-0.008478835029563366,0.12130271852346089
AUT,2021-02-28,-0.018233936087542292,-0.028411426086814486
AUT,2021-03-31,-0.012270399951749292,-0.06481479195957955
AUT,2021-04-30,-0.016281074210778384,-0.09067847237627849
AUT,2021-05-31,-0.01963701009443905,0.07101767063799724
AUT,2021-06-30,-0.0446216376567564,0.014661748545702456
AUT,2021-07-31,-0.021987739616035486,-0.037647748483557134
AUT,2021-08-31,-0.031218769211336154,0.04735690987326923
AUT,2021-09-30,-0.03196247360025143,-0.04566364673324251
AUT,2021-10-31,-0.026950529625169847,0.027078210384594934
AUT,2021-11-30,-0.05419750506400219,-0.09950457955644175
AUT,2021-12-31,-0.03170910503890255,-0.004116775047106428
AUT,2022-01-31,-0.03401793664964751,-0.04319192760767054
AUT,2022-02-28,-0.054539027742325524,-0.07981673814496502
AUT,2022-03-31,-0.04224156698106534,-0.024178027950308073
AUT,2022-04-30,-0.03079057176131938,-0.0775812865522305
AUT,2022-05-31,-0.029251958964212017,-0.020507557675178523
AUT,2022-06-30,-0.06208760737023197,-0.16355010196344352
AUT,2022-07-31,-0.0348160660082574,-0.05997986711995686
AUT,2022-08-31,-0.04638473701166554,-0.07541291268833658
AUT,2022-09-30,-0.06638795753172916,-0.09571378932263681
AUT,2022-10-31,-0.02964003378008907,-0.014137814407027216
AUT,2022-11-30,-0.023960600876729375,0.14847310516036605
AUT,2022-12-31,-0.06412947912597446,-0.0804044450025765
AUT,2023-01-31,-0.006728555505539806,0.11705867048002723
AUT,2023-02-28,-0.03590975045174127,-0.06276733764631987
AUT,2023-03-31,-0.06657164829464894,-0.07892666843222114
AUT,2023-04-30,-0.04706560009934982,-0.06276537689317405
AUT,2023-05-31,-0.054502464179621374,-0.0006457847942830469
AUT,2023-06-30,-0.040683618654571645,-0.022032575854964608
AUT,2023-07-31,-0.034533835806993124,0.10572396568692523
AUT,2023-08-31,-0.06760076255809026,-0.1331754523275006
AUT,2023-09-30,-0.05240094036897545,-0.1462518350574392
AUT,2023-10-31,-0.05473558315018711,-0.12406287928889251
AUT,2023-11-30,-0.023353998062676684,-0.033889890570265355
AUT,2023-12-31,-0.0349914111141541,-0.16457060796554795
AUT,2024-01-31,-0.04338016683504263,-0.06252376122646407
AUT,2024-02-29,-0.06819304189813939,-0.18508142022460142
AUT,2024-03-31,-0.04453683110532349,-0.07239244092371858
AUT,2024-04-30,-0.04933797803603944,-0.025614489936384665
AUT,2024-05-31,-0.028982503268621743,0.06039407500343019
AUT,2024-06-30,-0.04984457245603658,-0.04982547254830829
AUT,2024-07-31,-0.05048752504555038,7.009859640849765e-05
AUT,2024-08-31,-0.04919023328832951,-0.018301706127112096
AUT,2024-09-30,-0.06328853928518209,-0.10733332237526608
AUT,2024-10-31,-0.060027825233723936,-0.0932799360085815
AUT,2024-11-30,-0.05382264556478673,-0.02495909263151949
AUT,2024-12-31,-0.03751024328020658,0.02363874251917292
BRA,2020-03-31,-0.08439930082970643,-0.3292357529890634
BRA,2020-04-30,0.025009824541205275,0.25738191441910246
BRA,2020-05-31,0.00027773673750454983,0.12368074395789484
BRA,2020-06-30,0.08053058564771541,0.059887753166514096
BRA,2020-07-31,-0.009053838638428116,-0.03824088594279577
BRA,2020-08-31,-0.033273225063930954,-0.04321537190819964
BRA,2020-09-30,-0.06574358418233749,-0.11685289768567862
BRA,2020-10-31,-0.05556846275625226,-0.1298888731824292
BRA,2020-11-30,0.03722199823911,0.03230797475566104
BRA,2020-12-31,0.019402983103564517,-0.07166822730032393
BRA,2021-01-31,-0.04437124247010413,-0.07196160868038448
BRA,2021-02-28,-0.06763532153198995,-0.10536837423668267
BRA,2021-03-31,-0.01858180050473391,-0.07013276183424358
BRA,2021-04-30,0.01688830163585506,-0.04441480321395196
BRA,2021-05-31,-0.0033909877471259304,0.0013875199324881815
BRA,2021-06-30,0.0026648276634186146,0.02329635494655424
BRA,2021-07-31,-0.06798696672065534,-0.11652485924235585
BRA,2021-08-31,-0.07021251912094006,-0.10872479461219199
BRA,2021-09-30,-0.08843013155025829,-0.1428078641554448
BRA,2021-10-31,-0.10854561365991011,-0.1615088462498032
BRA,2021-11-30,-0.06165950562452341,-0.0932987252535579
BRA,2021-12-31,-0.010633385190828534,-0.04462240723457857
BRA,2022-01-31,-0.022404619161590186,-0.04752758661359825
BRA,2022-02-28,-0.061452718649090396,-0.09394522386628852
